Skewer|a piece of metal or wood used to suspend food while cooking|Roasting s’mores over the fire on a skewer is one of our camping traditions.|
Skiff|a boat small enough for sailing or rowing by one person|The fisherman hoped that the small skiff would be able to hold all of the fish he caught.|
Skill|a particular ability or expertise|The woman’s writing skill helped her stand out amongst all the other writers in the field.|
Skilled|having the ability or skill to do something well|Drawing back his bow, the skilled archer prepared to hit his target as he usually did.|
Skillful|being good at doing a certain task|A skillful painter, the artist was able to capture any image on canvas.|
Skim|to go over something quickly|Not having enough time to read all of the assigned chapters, I decided to skim through the pages and home for the best.|
Skinflint|a person who spends as little money as possible|The skinflint refused to spend money, even on things that are necessary.|
Skinny|extremely thin|Sauntering down the runway, the skinny model appeared rail thin.|
Skip|to move past one thing in order to do the next|Since I was tired, I decided to skip morning church service and attend the afternoon mass instead.|
Skipper|the captain of a ship or boat|The skipper of the boat guided the vessel through the storm and made it safely into the port.|
Skirmish|a skirmish is a brief argument|Several players got into a skirmish following the first play of the game.|
Skirt|skirt is to go around something instead of directly through it|Do not skirt around the truth about this issue, tell me exactly what happened and when.|
Skirting|skirting is going around something instead of straight through it|The daughter tried skirting around the truth about how she wrecked her car.|
Skittered|glided or skipped lightly over the surface of something|As the rain beat down on the highway, a car skittered across the slick road and careened down the hill.|
Skittering|to glide or skip lightly over the surface of something|After skittering across the surface of the lake, the pebble Gretchen tossed finally sank down to the bottom.|
Skulduggery|behavior characterized by tricking someone into something or cheating them through lies or misinformation|The insurance company was investigated by the FBI after claims of skulduggery and cheating customers was reported.|
Skyrocket|to rise very quickly|After one hit movie, the actress’s career seemed to skyrocket to success.|
Skyrocket|to increase very steeply and quickly|Gas prices usually skyrocket in the summer when lots of people are traveling and fuel is in great demand.|
Skyscraper|a skyscraper is a tall building with many stories|The contractor is building a new eighty-story residential skyscraper in downtown Houston.|
Slab|a slab is a large, thick piece of wood, concrete, or stone|The newlyweds went to the home improvement store to narrow down their favorite stone slab for their new home.|
Slack|slack means loose, not tight|I took my new dress to the seamstress because it needed slack added to the waist.|
Slacken|slacken means to loosen or lessen|You really need to slacken the seatbelt before you choke yourself.|
Slain|slain means to kill in a violent manner|Their son, slain in the shooting, began his career as a prison deputy at a local jail.|
Slake|slake means to quench or satisfy one’s thirst|This electrolyte water should help slake the runners’ thirst during the marathon.|
Slam-dunk|an expression that means to achieve or accomplish something easily|Although he thought the exam might be hard, the pleasantly surprised student considered it a slam-dunk.|
Slam|to shut something loudly and with great force|When he is angry, grant likes to slam his bedroom door so hard that the walls shake.|
Slammer|a slang word for prison or jail|Having spent ten years in the slammer, the ex-con wasn’t afraid of doing hard time for his crimes.|
Slander|to make a statement that cannot be proven in order to injure someone’s reputation|To win the election for homecoming queen, Jill resorted to slander to ruin her competitors’ reputations.|
Slang|a form of informal language|The children used slang as a secret language, not realizing their parents had cracked their codes long ago.|
Slant|a slant is a lean, bend, or slope|The slant of the mountain side made a much easier track for the mountain climbers than the strictly vertical path.|
Slapdash|done quickly without consideration for accuracy|Because I gave my mother very little notice, she had to plan a slapdash wedding ceremony for me.|
Slash|a slash is a cut|There was a slash through the doorway that allowed the thief to break into the enormous mansion.|
Slate|a thin piece of rock that is often used a writing surface|Writing the letter A on the smooth slate, the teacher demonstrated correct form for her students.|
Slaughter|the killing of a large number of animals or people|Mass slaughter of the Jewish people is one of history’s most senseless tragedies.|
Slave|a person who is legally owned by another|Slave labor was used in the southern colonies where large amounts of workers were needed to produce crops.|
Slavery|the practice of owning people as property and requiring them to serve and work for free|Escaping slavery herself, Harriett Tubman helped other slaves make it to freedom in the north.|
Slay|to kill something in a violent way|Determined to slay the dragon, the knight raised his sword to deliver a strike.|
Sleazy|shabby, dishonest, immoral|The sleazy salesman would make up anything to sell his product.|
Sleet|rain and snow mixed|The combination of snow and rain in the form of sleet rained down on the driver’s windshield.|
Sleigh|a sled drawn by horses, especially reindeer|Reindeer guide Santa Claus’s sleigh as he travels down the snowy mountains to deliver gifts to all the children.|
Sleight|the manipulation of cunning or skill, particularly as a means of deception|The card cheat used a sleight of hand trick to ensure he won the biggest pot of the night.|
Slender|slim; lean|Tall and slender, the model’s thin legs were one of her best assets.|
Sleuth|a detective or investigator who solves mysteries|Making a name for himself as a hard-hitting detective, the sleuth prides himself on being able to solve cold cases.|
Slew|to have killed something/someone|Zeus slew many of his enemies by literally striking them down with bolts of lightning.|
Slice|to cut something|Using a butcher knife, the deli worker continued to slice the meat into think pieces.|
Slick|smooth and glossy (usually of a surface)|Rain caused the road to become wet and many cars to skid across the slick surface.|
Slide|to scoot or move across something without lifting from the item|The gambler watched the dealer slide the cards across the table and prayed for a good hand.|
Slight|small or minimal in degree|Although she had a slight fever, the woman still felt well enough to go to work.|
Slightly|a tiny bit|Jamie loved that her best friend was only slightly bigger in size so that they could share each other’s clothes.|
Slim|slight or unlikely; slender or thin|After the terrible car accident, the driver only had a slim chance with about a 10% survival rate since he incurred extensive brain damage.|
Slimy|covered in or having a moist, soft, and slippery surface that is usually considered gross or repulsive|The slimy frog felt cool and moist to the touch when being held by the curious children.|
Slip|to slide or fall after losing one’s balance or footing|Water pooled on the grocery store floor caused a customer to slip and fall into the puddle.|
Slit|a long, narrow cut or opening|The long slit in the woman’s evening gown went from her ankle all the way up to her thigh.|
Slog|to work extremely hard over a period of time|The road workers were forced to slog it out and continue the construction even through the holidays.|
Slogan|a short noticeable motto for marketing a product or service|Once people started to remember the catchy slogan of the company’s popular frozen foods, this product’s sales increased.|
Slope|a surface that has one end that is higher than the other|The children slid their sled from the top of the hill to the bottom, laughing as they zoomed down the slope.|
Sloppily|messy, dirty, disheveled|He showed up to the interview so sloppily dressed that they turned him away at the door.|
Slosh|the sound of splashing|The distant slosh of the waves on the sandy beach was a relaxing sound as I attempted to take a nap.|
Slothful|lazy and idle; wanting to do nothing|Because he was so slothful, the lazy husband laid in bed every day while his wife worked.|
Slouch|to stand or sit in a stooped, slumped, or drooping way|Too tired of sitting up straight, the exhausted student began to slouch down in his chair.|
Slough|to cause to shed or purge|The product is designed to slough off dead skin cells.|
Slovenly|having a dirty appearance|The man’s slovenly dress was a result of him being homeless for a month.|
Slug|a slimy mollusk that lacks a shell and secretes mucous as it drags its body along the ground|The slug took over the man’s garden, dragging its slimy body over the plants as it munched.|
Sluggard|a generally lazy and unproductive person|Jonas was your typical sluggard who loved nothing more than laying in his bed and playing video games all day.|
Sluggish|slow-moving and lacking in energy|After staying up all night, the tired teenager was sluggish when morning arrived.|
Slum|a poor area of a city where the living conditions are really bad, and the houses are falling apart|Deep in the slum, the people were living in terrible poverty in shacks that were barely standing.|
Slumber|sleep; rest|The bear awoke from his slumber, stretching and yawning after a month long nap.|
Slumgullion|a cheap stew that is made of meat and vegetables but is thin like water|The poof family could only afford to make slumgullion and slurped the thin stew at every meal.|
Slump|to fall suddenly of prices, values, and sales|After a successful mowing season, winter caused service calls to slump.|
Slunk|crept or snuck|After noticing the light on in the living room, the teenage girl slunk back into the house after her curfew by crawling up the tree and into her bedroom window.|
Slur|to speak and mumble in a way that the words run into each other and can’t be understood|The drunk patron started to slur and mumbled his words as he stumbled around the bar.|
Slush|ice or snow that is partially melted|As the snow began to melt, it left behind a thin layer of watery slush.|
Sly|having or showing cleverness in a cunning or deceitful manner|Instead of a ‘yes’ or ‘no’ answer, he gave a sly smile as a response.|
Smack|to hit something or someone quickly with an object or the palm|The angry woman tried to smack her husband in the face, but he dodged the blow.|
Smackdown|the result of a humbling confrontation or defeat|After laying the smackdown on his opponent, the wrestler celebrated his victory by bragging to everyone in the arena.|
Small|of lesser size than normal|The skinny girl ordered a very small dress to wear to the dance.|
Smarting|the sensation of feeling a sharp pain or hurt|The football team is still smarting over their loss to their rival but must prepare for the next game.|
Smash|to break something into several pieces through brute force|If my large dog sees a squirrel outside the window, he may accidentally smash the glass trying to get to it.|
Smear|to spread a substance messily|The baby used her fingers to smear paint all across the paper.|
Smell|to detect the odor or scent of something using your nose|Amy stopped to smell the flowers in the garden because she loved the sweet scent.|
Smelt|to extract metal from ore through a heating process|In order to get useable metal out of iron ore, you must smelt it with extreme heat to get rid of the useless impurities.|
Smile|to turn the corners of one’s mouth up as a way of showing happiness or kindness|Tim was able to make his baby smile and giggle by tickling him under his chin.|
Smirk|a confident and often gloating smile|The smirk on his face told her that he was being sneaky.|
Smirk|a kind of smile that one gives when acting in a smug or conceited way|Because she knew the answer to the difficult math problem, the smug student shot a smirk toward her confused classmates.|
Smite|to strike something with a firm blow|Bringing his sword down swiftly, the knight tried to smite the enemy before he could get away.|
Smithereens|very tiny pieces|As the bomb exploded, it blew all of the paper close to it into tiny smithereens.|
Smitten|in love|The boy was completely smitten with his new babysitter, smiling whenever she was near.|
Smog|fog or haze that is polluted with smoke|Thick smog filled the air outside of the huge factory, polluting the sky all around the plant.|
